Name|Location|Transportation|URL
Rustique|12 (Green Line)|206B - Center Point on Hamilton, Level 2|http://www.rustique.ca
Safavieh|29 (Red Line)|117, 120, 121 - Market Square, Floor 1|http://www.safavieh.com
Sam Moore Furniture LLC|1 (Transportation Terminal)|C1058 - IHFC, Commerce, Floor 10|http://www.sammoore.com
Sam Rouse Furniture Design|0 (Go Anywhere Shuttle)|B2 - Mill Village Collective|http://www.samrousefurniture.com
Samuel Lawrence Furniture/SLF|4 (Green Line)|200 - 220 Elm, Level 2|http://www.slf-co.com
Sandberg Manufacturing Co.|1 (Transportation Terminal)|H721 - IHFC, Hamilton, Floor 7|http://www.sandbergfurniture.com
SANGIACOMO|4 (Green Line)|328 - 220 Elm, Level 3|http://www.msg.it
Sarreid Ltd.|14 (Red/Green Line)|3D - Commerce & Design, Floor 3|http://www.sarreid.com
Sauder|4 (Green Line)|218 - 220 Elm, Level 2|http://www.sauder.com
Scarborough House Fine Furniture and Furnishings|17 (Red Line)|Ste. 2 - 200 Steele, Floor 2Area: Hamilton/Wrenn District|http://www.scarboroughhouse.net
Sea Winds Trading Co.|3 (Green Line)|1-419A - Plaza Suites, Floor 1|http://www.seawindstrading.com
Selva Spa|6 (Green Line)|827 W. Green Dr.|http://www.selva.com/www.philippselva.com
Seven Wonders Furniture|14 (Red/Green Line)|M-1011 - Suites At Market Square, Mezzanine|http://www.sevenwondersfurniture.com
Shahrooz|1 (Transportation Terminal)|D715 - IHFC, Design Center, Floor 7|http://www.shahrooz-art.com
Shermag Canada|27 (Red Line)|400 W. English Rd - The Factory, Floor 1Area: North Elm District (NED)|http://www.shermag.ca
Shermag International|27 (Red Line)|400 W. English Rd  - The Factory, Floor 1Area: North Elm District (NED)|http://www.shermag.com
Shifman Mattress Company|18 (Red Line)|315 Fred Alexander Pl.|http://www.shifman.com
Simply Amish|1 (Transportation Terminal)|D1102 - IHFC, Design Center, Floor 11|http://www.SimplyAmish.com
Simply Bunk Beds|9 (Green Line)|210 - Atrium on Main, Floor 2|http://www.sbbed.com
Skyline Furniture Mfg/Skyline Imports|4 (Green Line)|212 - 220 Elm, Level 2|http://www.skylinefurnituremfg.com
Somerset Bay|23 (Red Line)|430 N. Wrenn St.|http://www.somersetbayhome.com
South Shore Furniture|14 (Red/Green Line)|7N - Commerce & Design, Floor 7|http://www.southshorefurniture.com
Southern Furniture Co Inc|1 (Transportation Terminal)|205 Model Farm Rd.|http://www.southernfurniture.net
Southern Sky Home|1 (Transportation Terminal)|2312 - Showplace, Floor 2|http://www.southernskyhome.com
Spectra Wood, Inc|1 (Transportation Terminal)|D504 - IHFC, Design Center, Floor 5|http://www.spectrawood.com
ST2 bench made in america|22 (Red Line)|525 N. Wrenn St.|http://www.st2furniture.com
Standard Furniture|1 (Transportation Terminal)|C700 - IHFC, Commerce, Floor 7|http://www.standard-furniture.com
Stanford Furniture|18 (Red Line)|333 N. Hamilton St.|
Stanley Furniture|18 (Red Line)|S Ct 200 - 200 N. Hamilton St., Floor 2Area: Hamilton/Wrenn District|http://www.stanleyfurniture.com
Star International Furniture, Inc.|1 (Transportation Terminal)|3148, 1850 - Showplace, Floor 3|http://www.starinternationalfurniture.com
Sterling DIMOND|1 (Transportation Terminal)|C402 - IHFC, Commerce, Floor 4|http://www.mysterlinghome.com
Steven Shell|1 (Transportation Terminal)|2340 - Showplace, Floor 2|http://www.stevenshell.com
Sun Cabinet Co. Ltd.|0 (Go Anywhere Shuttle)|. - 812 Millis, Floor 3|http://www.suncabinet.co.th
Sunny Designs, Inc.|13 (Green Line)|- Market On Green, Floor 5|http://www.sunnydesigns.com
Sunpan Modern Home|1 (Transportation Terminal)|1200 - Showplace, Floor 1|http://www.sunpan.com
Swaim|21 (Red Line)|518 N. Hamilton St. (Rickety Bridge Winery) - Swaim Design CenterArea: Hamilton/Wrenn District|
Tartone Enterprises|5 (Green Line)|212 Jacobs Pl|http:// www.homelegance.com
TC Home|12 (Green Line)|1107 - Center Point on Hamilton, Lower Level|http://www.tchomesb.com
Teleset Furniture|1 (Transportation Terminal)|C661, Istanbul Exporters' Association - IHFC, Commerce, Floor 6|http://www.teleset.com.tr/eng/
Terry Seitz Inc.|4 (Green Line)|330 - 220 Elm, Level 3|http:// www.woodbrook-designs.com
The Dana Gibson Collection|18 (Red Line)|311 N. Hamilton St.|http://www.themtcompany.com
The Joe Ruggiero Collection|18 (Red Line)|311 N. Hamilton St.|http://www.themtcompany.com
The MT Company|18 (Red Line)|311 N. Hamilton St.|http://www.themtcompany.com
Theodore Alexander|8 (Green Line)|229 W. Russell Ave.|http://www.theodorealexander.com
Thomas Bina|19 (Red Line)|101 - 330 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.resourcedecor.com
Thomasville Furniture|29 (Red Line)|520 - Market Square, Floor 5|http://www.thomasville.com
Titan Importer Co.|5 (Green Line)|212 Jacobs Pl|
Titanic Furniture|12 (Green Line)|600B, 600C - Center Point on Russell, Floor 1|http://www.titanicfurniture.com
Tomlinson Companies|22 (Red Line)|525 N Wrenn St.|http://www.TomlinsonCompanies.com
Tommy Bahama Home|0 (Go Anywhere Shuttle)|1300 National Highway, Thomasville, NC 27360|http://www.tbfurniture.com
Tracey Boyd|19 (Red Line)|101 - 330 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.resourcedecor.com
Trade Winds Furniture|1 (Transportation Terminal)|IH308 - IHFC, Commerce, Floor 1Area: InterHall|http://www.TradeWindsFurniture.com
Trendily Furniture|18 (Red Line)|N Ct 305 - 200 N. Hamilton St., Floor 3Area: Hamilton/Wrenn District|http://www.trendilyhomecollection.com
Trendwood, Inc.|3 (Green Line)|400 - Furniture Plaza, Floor 4|http://www.trendwood.com
Trica Inc.|1 (Transportation Terminal)|D515 - IHFC, Design Center, Floor 5|http://www.tricafurniture.com
Tritter Feefer Home Collection|1 (Transportation Terminal)|IH501 - IHFC, Commerce, Floor 1Area: InterHall|http://www.tritterfeefer.com
Twin Star International Home Furnishings|13 (Green Line)|602 - Market On Green, Floor 6|http://www.twinstarhome.com
United Furniture Industries|14 (Red/Green Line)|610, 301 - National Furniture Mart, Floor 6|http://www.unitedfurnitureindustries.com
Universal Furniture International, Inc.|15 (Red Line)|101 S. Hamilton St. (Formerly Hamilton Square)|http://www.universalfurniture.com
Vanguard Furniture Co Inc|18 (Red Line)|301 N. Hamilton St.|http://www.vanguardfurniture.com
Vaughan-Bassett Furn Co Inc|1 (Transportation Terminal)|C1000 - IHFC, Commerce, Floor 10|http://www.vaughan-bassett.com
Vere Antichita by Artitalia Group|18 (Red Line)|N Ct 103 - 200 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.artitaliagroup.com
Verellen Inc|11 (Green Line)|515 S. Hamilton St.|
VIG Furniture, Inc.|1 (Transportation Terminal)|H730 - IHFC, Hamilton, Floor 7|http://www.vigfurniture.com
Vintage Furniture|14 (Red/Green Line)|200 - National Furniture Mart, Floor 2|
Vispring Luxury Beds|29 (Red Line)|272 - Market Square, Floor 2|http://www.vispring.com
Voelkel Corporation, LLC |4 (Green Line)|304 - 220 Elm, Level 3|http://www.voelkelcorp.com
Vokes Furniture Inc.|1 (Transportation Terminal)|D1111 - IHFC, Design Center, Floor 11|http://www.vokesfurniture.com
Wayne and Sons Furniture|12 (Green Line)|1105B - Center Point on Hamilton, Lower Level|http://www.wesfc.com
Weiman|1 (Transportation Terminal)|G262, G265 - IHFC, Green, Floor 2|http://www.weimanhome.com
